148696, Client1, 02-01-2024, M, 1, 5,
148862, Client1, 02-01-2024, M, 1, 5,
148863, Client1, 02-01-2024, M, 1, 5,
148864, Client1, 02-01-2024, M, 1, 5,
148865, Client1, 02-01-2024, M, 1, 5,
148866, Client1, 02-01-2024, M, 1, 5,
148867, Client1, 02-01-2024, M, 1, 5,
148868, Client1, 02-01-2024, M, 1, 5,
148869, Client1, 02-01-2024, M, 1, 5,
148870, Client1, 02-01-2024, M, 1, 5,
148871, Client1, 02-01-2024, M, 1, 5,
148872, Client1, 02-01-2024, M, 1, 5,
148873, Client1, 02-01-2024, M, 1, 5,
148874, Client1, 02-01-2024, M, 1, 5,
148875, Client1, 02-01-2024, M, 1, 5,
148876, Client1, 02-01-2024, M, 1, 5,
148877, Client1, 02-01-2024, M, 1, 5,
148878, Client1, 02-01-2024, M, 1, 5,
148879, Client1, 02-01-2024, M, 1, 5,
148880, Client1, 02-01-2024, M, 1, 5,
148881, Client1, 02-01-2024, M, 1, 5,
148882, Client1, 02-01-2024, M, 1, 5,
148883, Client1, 02-01-2024, M, 1, 5,
148884, Client1, 02-01-2024, M, 1, 5,
148885, Client1, 02-01-2024, M, 1, 5,
148886, Client1, 02-01-2024, M, 1, 5,
148887, Client1, 02-01-2024, M, 1, 5,
148888, Client1, 02-01-2024, M, 1, 5,
148889, Client1, 02-01-2024, M, 1, 5,
148890, Client1, 02-01-2024, M, 1, 5,
148891, Client1, 02-01-2024, M, 1, 5,
148892, Client1, 02-01-2024, M, 1, 5,
148893, Client1, 02-01-2024, M, 1, 5,
148894, Client1, 02-01-2024, M, 1, 5,
148895, Client1, 02-01-2024, M, 1, 5,
